label,date,count
(D),19950101,5
(D),19950201,5
(D),19950301,19
(D),19950401,45
(D),19950501,52
(D),19950601,50
(D),19950701,5
(D),19950801,10
(D),19950901,50
(D),19951001,74
(D),19951101,73
(D),19951201,21
(D),19960101,18
(D),19960201,4
(D),19960301,13
(D),19960401,2
(D),19960501,29
(D),19960601,24
(D),19960701,6
(D),19960801,0
(D),19960901,49
(D),19961001,4
(D),19961101,0
(D),19961201,0
(D),19970101,3
(D),19970201,2
(D),19970301,3
(D),19970401,7
(D),19970501,4
(D),19970601,5
(D),19970701,8
(D),19970801,0
(D),19970901,2
(D),19971001,17
(D),19971101,4
(D),19971201,0
(D),19980101,2
(D),19980201,2
(D),19980301,1
(D),19980401,2
(D),19980501,2
(D),19980601,2
(D),19980701,20
(D),19980801,1
(D),19980901,3
(D),19981001,2
(D),19981101,0
(D),19981201,0
(D),19990101,0
(D),19990201,0
(D),19990301,0
(D),19990401,2
(D),19990501,0
(D),19990601,0
(D),19990701,5
(D),19990801,2
(D),19990901,0
(D),19991001,3
(D),19991101,1
(D),19991201,0
(D),20000101,1
(D),20000201,2
(D),20000301,2
(D),20000401,0
(D),20000501,0
(D),20000601,1
(D),20000701,0
(D),20000801,0
(D),20000901,0
(D),20001001,11
(D),20001101,3
(D),20001201,2
(D),20010101,3
(D),20010201,3
(D),20010301,8
(D),20010401,0
(D),20010501,16
(D),20010601,1
(D),20010701,2
(D),20010801,0
(D),20010901,0
(D),20011001,4
(D),20011101,1
(D),20011201,9
(D),20020101,6
(D),20020201,3
(D),20020301,0
(D),20020401,33
(D),20020501,15
(D),20020601,9
(D),20020701,9
(D),20020801,1
(D),20020901,2
(D),20021001,10
(D),20021101,4
(D),20021201,0
(D),20030101,4
(D),20030201,4
(D),20030301,25
(D),20030401,18
(D),20030501,5
(D),20030601,3
(D),20030701,15
(D),20030801,0
(D),20030901,8
(D),20031001,11
(D),20031101,12
(D),20031201,0
(D),20040101,3
(D),20040201,3
(D),20040301,4
(D),20040401,11
(D),20040501,18
(D),20040601,12
(D),20040701,9
(D),20040801,1
(D),20040901,29
(D),20041001,9
(D),20041101,8
(D),20041201,2
(D),20050101,5
(D),20050201,6
(D),20050301,15
(D),20050401,6
(D),20050501,4
(D),20050601,15
(D),20050701,3
(D),20050801,0
(D),20050901,20
(D),20051001,53
(D),20051101,118
(D),20051201,69
(D),20060101,9
(D),20060201,44
(D),20060301,40
(D),20060401,18
(D),20060501,20
(D),20060601,38
(D),20060701,25
(D),20060801,8
(D),20060901,20
(D),20061001,1
(D),20061101,10
(D),20061201,6
(D),20070101,184
(D),20070201,10
(D),20070301,13
(D),20070401,3
(D),20070501,37
(D),20070601,16
(D),20070701,132
(D),20070801,1
(D),20070901,85
(D),20071001,15
(D),20071101,9
(D),20071201,6
(D),20080101,8
(D),20080201,31
(D),20080301,2
(D),20080401,97
(D),20080501,10
(D),20080601,10
(D),20080701,66
(D),20080801,8
(D),20080901,38
(D),20081001,20
(D),20081101,5
(D),20081201,3
(D),20090101,16
(D),20090201,16
(D),20090301,25
(D),20090401,8
(D),20090501,14
(D),20090601,11
(D),20090701,20
(D),20090801,3
(D),20090901,107
(D),20091001,19
(D),20091101,10
(D),20091201,22
(D),20100101,5
(D),20100201,10
(D),20100301,87
(D),20100401,30
(D),20100501,23
(D),20100601,25
(D),20100701,22
(D),20100801,9
(D),20100901,28
(D),20101001,8
(D),20101101,2
(D),20101201,48
(D),20110101,17
(D),20110201,16
(D),20110301,20
(D),20110401,14
(D),20110501,28
(D),20110601,30
(D),20110701,95
(D),20110801,22
(D),20110901,10
(D),20111001,81
(D),20111101,12
(D),20111201,27
(D),20120101,33
(D),20120201,94
(D),20120301,92
(D),20120401,609
(D),20120501,599
(D),20120601,494
(D),20120701,91
(D),20120801,38
(D),20120901,42
(D),20121001,29
(D),20121101,12
(D),20121201,21
(D),20130101,27
(D),20130201,18
(D),20130301,80
(D),20130401,114
(D),20130501,474
(D),20130601,877
(D),20130701,894
(D),20130801,120
(D),20130901,43
(D),20131001,66
(D),20131101,20
(D),20131201,60
(D),20140101,50
(D),20140201,72
(D),20140301,57
(D),20140401,118
(D),20140501,265
(D),20140601,649
(D),20140701,171
(D),20140801,119
(D),20140901,225
(D),20141001,93
(D),20141101,32
(D),20141201,48
(D),20150101,88
(D),20150201,88
(D),20150301,329
(D),20150401,329
(D),20150501,207
(D),20150601,96
(D),20150701,99
(D),20150801,150
(D),20150901,142
(D),20151001,232
(D),20151101,142
(D),20151201,90
(D),20160101,136
(D),20160201,138
(D),20160301,179
(D),20160401,140
(D),20160501,123
(D),20160601,75
(D),20160701,77
(D),20160801,88
(D),20160901,198
(D),20161001,136
(D),20161101,67
(D),20161201,61
(D),20170101,80
(D),20170201,106
(D),20170301,97
(D),20170401,181
(D),20170501,323
(D),20170601,197
(D),20170701,59
(R),19950201,1
(R),19950301,1
(R),19950401,2
(R),19950501,14
(R),19950601,10
(R),19950701,2
(R),19950801,2
(R),19950901,30
(R),19951001,29
(R),19951101,71
(R),19951201,40
(R),19960101,5
(R),19960201,0
(R),19960301,7
(R),19960401,7
(R),19960501,23
(R),19960601,19
(R),19960701,28
(R),19960801,0
(R),19960901,20
(R),19961001,2
(R),19961101,0
(R),19961201,0
(R),19970101,7
(R),19970201,14
(R),19970301,6
(R),19970401,8
(R),19970501,6
(R),19970601,9
(R),19970701,8
(R),19970801,0
(R),19970901,8
(R),19971001,21
(R),19971101,2
(R),19971201,0
(R),19980101,1
(R),19980201,0
(R),19980301,0
(R),19980401,1
(R),19980501,3
(R),19980601,4
(R),19980701,16
(R),19980801,0
(R),19980901,1
(R),19981001,6
(R),19981101,0
(R),19981201,0
(R),19990101,0
(R),19990201,1
(R),19990301,2
(R),19990401,0
(R),19990501,1
(R),19990601,0
(R),19990701,9
(R),19990801,5
(R),19990901,1
(R),19991001,1
(R),19991101,4
(R),19991201,0
(R),20000101,0
(R),20000201,5
(R),20000301,1
(R),20000401,1
(R),20000501,0
(R),20000601,6
(R),20000701,1
(R),20000801,0
(R),20000901,3
(R),20001001,10
(R),20001101,0
(R),20001201,1
(R),20010101,5
(R),20010201,1
(R),20010301,6
(R),20010401,1
(R),20010501,11
(R),20010601,1
(R),20010701,1
(R),20010801,0
(R),20010901,1
(R),20011001,9
(R),20011101,2
(R),20011201,6
(R),20020101,13
(R),20020201,3
(R),20020301,0
(R),20020401,3
(R),20020501,3
(R),20020601,3
(R),20020701,4
(R),20020801,0
(R),20020901,4
(R),20021001,4
(R),20021101,3
(R),20021201,0
(R),20030101,3
(R),20030201,1
(R),20030301,2
(R),20030401,10
(R),20030501,1
(R),20030601,3
(R),20030701,15
(R),20030801,0
(R),20030901,3
(R),20031001,6
(R),20031101,2
(R),20031201,1
(R),20040101,0
(R),20040201,2
(R),20040301,4
(R),20040401,0
(R),20040501,0
(R),20040601,3
(R),20040701,0
(R),20040801,0
(R),20040901,3
(R),20041001,13
(R),20041101,0
(R),20041201,0
(R),20050101,1
(R),20050201,0
(R),20050301,4
(R),20050401,0
(R),20050501,0
(R),20050601,4
(R),20050701,1
(R),20050801,0
(R),20050901,14
(R),20051001,7
(R),20051101,27
(R),20051201,15
(R),20060101,1
(R),20060201,3
(R),20060301,29
(R),20060401,2
(R),20060501,6
(R),20060601,2
(R),20060701,0
(R),20060801,0
(R),20060901,4
(R),20061001,0
(R),20061101,0
(R),20061201,0
(R),20070101,48
(R),20070201,1
(R),20070301,5
(R),20070401,1
(R),20070501,26
(R),20070601,5
(R),20070701,41
(R),20070801,1
(R),20070901,25
(R),20071001,5
(R),20071101,7
(R),20071201,1
(R),20080101,1
(R),20080201,6
(R),20080301,2
(R),20080401,48
(R),20080501,3
(R),20080601,4
(R),20080701,14
(R),20080801,1
(R),20080901,14
(R),20081001,5
(R),20081101,3
(R),20081201,8
(R),20090101,13
(R),20090201,6
(R),20090301,15
(R),20090401,8
(R),20090501,4
(R),20090601,3
(R),20090701,17
(R),20090801,1
(R),20090901,72
(R),20091001,9
(R),20091101,13
(R),20091201,15
(R),20100101,1
(R),20100201,2
(R),20100301,82
(R),20100401,21
(R),20100501,13
(R),20100601,6
(R),20100701,20
(R),20100801,3
(R),20100901,9
(R),20101001,0
(R),20101101,5
(R),20101201,8
(R),20110101,3
(R),20110201,1
(R),20110301,5
(R),20110401,5
(R),20110501,4
(R),20110601,4
(R),20110701,20
(R),20110801,8
(R),20110901,5
(R),20111001,31
(R),20111101,4
(R),20111201,7
(R),20120101,12
(R),20120201,15
(R),20120301,8
(R),20120401,158
(R),20120501,161
(R),20120601,109
(R),20120701,18
(R),20120801,8
(R),20120901,13
(R),20121001,4
(R),20121101,7
(R),20121201,5
(R),20130101,7
(R),20130201,14
(R),20130301,25
(R),20130401,17
(R),20130501,187
(R),20130601,542
(R),20130701,673
(R),20130801,101
(R),20130901,19
(R),20131001,16
(R),20131101,9
(R),20131201,22
